LATE,BILL,Type
16,79,RESIDENTIAL
47,264,RESIDENTIAL
22,97,RESIDENTIAL
47,289,RESIDENTIAL
47,288,RESIDENTIAL
21,100,RESIDENTIAL
44,250,RESIDENTIAL
27,140,RESIDENTIAL
19,97,RESIDENTIAL
48,299,RESIDENTIAL
16,80,RESIDENTIAL
50,311,RESIDENTIAL
11,46,RESIDENTIAL
17,110,RESIDENTIAL
25,146,RESIDENTIAL
37,201,RESIDENTIAL
22,95,RESIDENTIAL
38,205,RESIDENTIAL
24,150,RESIDENTIAL
31,158,RESIDENTIAL
51,310,RESIDENTIAL
40,197,RESIDENTIAL
34,180,RESIDENTIAL
30,149,RESIDENTIAL
39,211,RESIDENTIAL
5,90,RESIDENTIAL
11,60,RESIDENTIAL
33,187,RESIDENTIAL
42,220,RESIDENTIAL
15,70,RESIDENTIAL
48,273,RESIDENTIAL
10,50,RESIDENTIAL
29,162,RESIDENTIAL
25,153,RESIDENTIAL
43,225,RESIDENTIAL
42,210,RESIDENTIAL
30,154,RESIDENTIAL
41,215,RESIDENTIAL
49,301,RESIDENTIAL
43,240,RESIDENTIAL
36,205,RESIDENTIAL
6,95,RESIDENTIAL
52,302,RESIDENTIAL
19,98,RESIDENTIAL
26,150,RESIDENTIAL
36,179,RESIDENTIAL
13,75,RESIDENTIAL
35,199,RESIDENTIAL
74,150,COMMERCIAL
47,289,COMMERCIAL
39,310,COMMERCIAL
47,299,COMMERCIAL
53,240,COMMERCIAL
71,179,COMMERCIAL
82,90,COMMERCIAL
83,95,COMMERCIAL
90,50,COMMERCIAL
92,80,COMMERCIAL
71,158,COMMERCIAL
80,110,COMMERCIAL
83,95,COMMERCIAL
57,220,COMMERCIAL
84,100,COMMERCIAL
63,211,COMMERCIAL
73,149,COMMERCIAL
60,205,COMMERCIAL
50,302,COMMERCIAL
91,70,COMMERCIAL
49,250,COMMERCIAL
67,201,COMMERCIAL
83,97,COMMERCIAL
83,98,COMMERCIAL
81,97,COMMERCIAL
74,153,COMMERCIAL
69,150,COMMERCIAL
65,146,COMMERCIAL
70,154,COMMERCIAL
60,197,COMMERCIAL
53,273,COMMERCIAL
63,205,COMMERCIAL
67,199,COMMERCIAL
99,60,COMMERCIAL
60,210,COMMERCIAL
85,75,COMMERCIAL
79,140,COMMERCIAL
68,187,COMMERCIAL
70,162,COMMERCIAL
47,311,COMMERCIAL
51,264,COMMERCIAL
69,180,COMMERCIAL
44,301,COMMERCIAL
47,288,COMMERCIAL
55,225,COMMERCIAL
86,79,COMMERCIAL
94,46,COMMERCIAL
59,215,COMMERCIAL
